Chao,AP,mismatch
-0.136575535,0.009034694,1
-0.759105148,0.085637885,1
0.157185584,-0.012061241,1
-0.016847571,0.009034694,1
-0.244857312,0.085637885,1
0.18271925,-0.012061241,1
0.107422002,0.057154292,0
-0.012539349,0.225550637,1
-0.031905255,-0.220150023,0
-0.097654338,-0.288382125,0
-0.228892823,-0.310980437,0
-0.014009805,0.389136858,1
0.022455693,0.259502344,0
0.001880016,0.086854815,0
-0.076173216,0.037178047,1
-0.16907633,0.090971778,1
-0.068992871,0.133531393,1
-0.022472856,-0.100083459,0
0.122602322,0.090971778,0
0.16034265,0.133531393,0
-0.044451763,-0.100083459,0
-0.139761557,-0.636092444,0
0.060018316,-0.315676037,1
0.037042275,-0.657355551,1
-0.225338416,0.143630918,1
0.380348604,-0.636092444,1
0.244856489,-0.315676037,1
-0.20941603,-0.657355551,0
0.103564124,0.143630918,0
-1.164536537,-0.733969175,0
0.095066752,-0.271552691,1
-0.031907377,0.696687007,1
-0.059253763,-0.292524697,0
-1.12969668,-0.097937535,0
-0.618075869,-0.100669728,0
-0.047829088,-0.636108129,0
-0.30476718,0.08676461,1
-0.24378377,0.368806234,1
0.024480217,0.472317221,0
-0.207690889,0.598413109,1
-0.173626643,0.15415068,1
-0.192695794,0.15415068,1
-0.024350245,1.488295186,1
0.054039441,0.548833463,0
0.019558755,1.488295186,0
0.019087151,0.548833463,0
0.008886282,0.455121396,0
0.034585115,0.447413038,0
0.047714125,0.529661076,0
0.73636912,-0.307874711,1
-0.058198239,-0.304220772,0
0.320699841,-0.446043423,1
-0.153102916,0.094187215,1
0.028247784,0.076046128,0
-0.011640496,0.241162057,1
-0.058528888,0.241162057,1
-0.124595791,0.040463332,1
-0.204574584,0.050070053,1
0.148211502,0.058304788,0
0.024509743,0.122570976,0
-0.01693461,0.291791665,1
-0.070849216,0.357340605,1
-0.161137106,0.18800484,1
-0.327422054,0.7291887,1
-0.435760321,0.79391941,1
-0.025953786,0.291791665,1
-0.047083317,0.357340605,1
-0.14629527,0.18800484,1
-0.167524441,0.7291887,1
-0.145238236,0.79391941,1
0.559108816,-0.326669485,1
0.563193609,-0.413872173,1
0.360289626,-0.042503068,1
0.605948403,-0.146852256,1
0.112281319,0.067632477,0
0.345347885,-0.195362302,1
-0.089538445,-0.36301787,0
-0.167087077,-0.495050959,0
0.015772591,-0.581101585,1
-0.030711075,-1.534706922,0
0.068654405,-1.53867866,1
0.050118747,-0.809975833,1
0.019775863,-0.141078598,1
0.094983452,0.26438651,0
0.066905213,0.177375133,0
-0.017660892,0.073660325,1
-0.06501951,0.260241326,1
0.025684155,0.073660325,0
-0.015205852,0.260241326,1
-0.235651,0.211405022,1
-0.416556727,1.241134458,1
-0.31127226,1.089706498,1
-0.453259278,2.083025237,1
-0.337587033,1.95640545,1
-0.448965078,1.241134458,1
-1.281245907,1.089706498,1
-0.426864731,2.083025237,1
-0.374308573,1.95640545,1
-0.961692083,-0.888210472,0
-0.08907973,-0.363960789,0
0.143251833,1.496642418,0
-0.028721101,1.925795785,1
-0.221218623,1.496642418,1
-0.083688824,1.925795785,1
-0.085831436,1.496642418,1
-0.184417415,1.925795785,1
0.204959455,1.496642418,0
0.107090756,1.925795785,0
